State,County,Median household income,Poor or fair health,Uninsured adults
AK,Aleutians West Census Area,69192,0.122,0.374
AK,Aleutians West Census Area,74088,0.122,0.314
AK,Anchorage Borough,71094,0.125,0.218
AK,Anchorage Borough,76362,0.125,0.227
AK,Bethel Census Area,41722,0.211,0.394
AK,Bethel Census Area,42876,0.211,0.389
AK,Dillingham Census Area,47498,0.121,0.384
AK,Dillingham Census Area,47930,0.121,0.367
AK,Fairbanks North Star Borough,63979,0.11,0.251
AK,Fairbanks North Star Borough,67204,0.11,0.247
AK,Haines Borough,49890,0.118,0.317
AK,Haines Borough,55295,0.118,0.346
AK,Juneau Borough,76967,0.115,0.236
AK,Juneau Borough,83642,0.115,0.216
AK,Kenai Peninsula Borough,60431,0.137,0.268
AK,Kenai Peninsula Borough,61629,0.137,0.278
AK,Ketchikan Gateway Borough,61296,0.144,0.304
AK,Ketchikan Gateway Borough,62619,0.144,0.284
AK,Kodiak Island Borough,61498,0.132,0.349
AK,Kodiak Island Borough,64782,0.132,0.32
AK,Lake and Peninsula Borough,44657,,0.434
AK,Lake and Peninsula Borough,43936,,0.406
AK,Matanuska-Susitna Borough,68109,0.133,0.266
AK,Matanuska-Susitna Borough,72371,0.133,0.254
AK,Nome Census Area,47022,0.164,0.373
AK,Nome Census Area,46471,0.164,0.366
AK,North Slope Borough,69138,0.2,0.28
AK,North Slope Borough,74174,0.2,0.295
AK,Northwest Arctic Borough,52945,0.188,0.384
AK,Northwest Arctic Borough,54600,0.188,0.394
AK,Prince of Wales-Outer Ketchikan Census Area,44721,0.207,0.379
AK,Prince of Wales-Outer Ketchikan Census Area,48175,0.207,0.363
AK,Sitka Borough,61771,0.11,0.293
AK,Sitka Borough,66038,0.11,0.292
AK,Skagway-Hoonah-Angoon Census Area,48137,0.1,0.334
AK,Skagway-Hoonah-Angoon Census Area,49138,0.1,0.343
AK,Southeast Fairbanks Census Area,56456,0.154,0.323
AK,Southeast Fairbanks Census Area,54922,0.154,0.345
AK,Valdez-Cordova Census Area,65098,0.172,0.281
AK,Valdez-Cordova Census Area,63541,0.172,0.283
AK,Wade Hampton Census Area,32860,0.25,0.441
AK,Wade Hampton Census Area,31274,0.25,0.433
AK,Wrangell-Petersburg Census Area,53745,0.132,0.29
AK,Wrangell-Petersburg Census Area,54624,0.132,0.285
AK,Yukon-Koyukuk Census Area,33998,0.194,0.45
AK,Yukon-Koyukuk Census Area,35114,0.194,0.448
AL,Autauga County,51441,0.228,0.18
AL,Autauga County,51868,0.228,0.169
AL,Baldwin County,48867,0.127,0.209
AL,Baldwin County,47539,0.127,0.199
AL,Barbour County,30287,0.234,0.242
AL,Barbour County,30981,0.234,0.228
AL,Bibb County,37392,0.179,0.2
AL,Bibb County,39781,0.179,0.193
AL,Blount County,44225,0.242,0.227
AL,Blount County,44392,0.242,0.233
AL,Bullock County,25854,0.23,0.208
AL,Bullock County,25937,0.23,0.232
AL,Butler County,30605,0.199,0.21
AL,Butler County,31041,0.199,0.216
AL,Calhoun County,39212,0.227,0.213
AL,Calhoun County,37898,0.227,0.197
AL,Chambers County,32320,0.385,0.228
AL,Chambers County,33883,0.385,0.205
AL,Cherokee County,37868,0.242,0.214
AL,Cherokee County,37478,0.242,0.209
AL,Chilton County,39621,0.205,0.254
AL,Chilton County,41348,0.205,0.245
AL,Choctaw County,33390,0.316,0.219
AL,Choctaw County,33581,0.316,0.204
AL,Clarke County,34606,0.218,0.236
AL,Clarke County,34593,0.218,0.221
AL,Clay County,34579,0.286,0.238
AL,Clay County,33344,0.286,0.238
AL,Cleburne County,38235,0.2,0.211
AL,Cleburne County,40407,0.2,0.204
AL,Coffee County,45631,0.184,0.219
AL,Coffee County,44666,0.184,0.205
AL,Colbert County,39771,0.259,0.188
AL,Colbert County,40032,0.259,0.181
AL,Conecuh County,27110,0.183,0.24
AL,Conecuh County,27196,0.183,0.233
AL,Coosa County,32960,0.258,0.195
AL,Coosa County,35175,0.258,0.202
AL,Covington County,34017,0.25,0.225
AL,Covington County,35187,0.25,0.223
AL,Crenshaw County,33648,0.203,0.236
AL,Crenshaw County,34105,0.203,0.21
AL,Cullman County,37938,0.214,0.225
AL,Cullman County,40142,0.214,0.23
AL,Dale County,40125,0.212,0.199
AL,Dale County,41805,0.212,0.192
AL,Dallas County,27400,0.252,0.21
AL,Dallas County,27524,0.252,0.194
AL,DeKalb County,37644,0.204,0.29
AL,DeKalb County,36713,0.204,0.282
AL,Elmore County,52324,0.167,0.176
AL,Elmore County,51650,0.167,0.168
AL,Escambia County,33588,0.281,0.249
AL,Escambia County,33455,0.281,0.256
AL,Etowah County,35737,0.227,0.215
AL,Etowah County,38587,0.227,0.214
AL,Fayette County,35720,0.318,0.2
AL,Fayette County,35661,0.318,0.197
AL,Franklin County,33173,0.24,0.268
AL,Franklin County,33332,0.24,0.26
AL,Geneva County,33347,0.283,0.231
AL,Geneva County,35378,0.283,0.243
AL,Greene County,24592,0.271,0.225
AL,Greene County,25864,0.271,0.206
AL,Hale County,31025,0.211,0.245
AL,Hale County,33597,0.211,0.209
AL,Henry County,37108,0.184,0.218
AL,Henry County,41590,0.184,0.212
AL,Houston County,40609,0.207,0.208
AL,Houston County,39636,0.207,0.215
AL,Jackson County,39618,0.28,0.231
AL,Jackson County,37204,0.28,0.218
AL,Jefferson County,43967,0.178,0.189
AL,Jefferson County,45024,0.178,0.186
AL,Lamar County,33940,0.285,0.209
AL,Lamar County,36475,0.285,0.213
AL,Lauderdale County,41536,0.192,0.19
AL,Lauderdale County,43586,0.192,0.207
AL,Lawrence County,38524,0.235,0.219
AL,Lawrence County,40713,0.235,0.231
AL,Lee County,43182,0.175,0.207
AL,Lee County,44647,0.175,0.191
AL,Limestone County,49616,0.207,0.206
AL,Limestone County,50148,0.207,0.207
AL,Lowndes County,28544,0.358,0.222
AL,Lowndes County,29734,0.358,0.2
AL,Macon County,27709,0.247,0.195
AL,Macon County,29228,0.247,0.191
AL,Madison County,57072,0.141,0.189
AL,Madison County,58258,0.141,0.174
AL,Marengo County,31888,0.264,0.224
AL,Marengo County,33749,0.264,0.196
AL,Marion County,32237,0.237,0.219
AL,Marion County,34162,0.237,0.202
AL,Marshall County,36960,0.212,0.274
AL,Marshall County,38399,0.212,0.242
AL,Mobile County,39546,0.226,0.239
AL,Mobile County,42278,0.226,0.23
AL,Monroe County,36221,0.257,0.236
AL,Monroe County,32696,0.257,0.215
AL,Montgomery County,41430,0.21,0.213
AL,Montgomery County,44013,0.21,0.2
AL,Morgan County,44766,0.149,0.231
AL,Morgan County,44079,0.149,0.218
AL,Perry County,25215,0.272,0.25
AL,Perry County,25461,0.272,0.215
AL,Pickens County,31433,0.26,0.22
AL,Pickens County,32314,0.26,0.209
AL,Pike County,32411,0.238,0.25
AL,Pike County,35944,0.238,0.225
AL,Randolph County,35024,0.223,0.24
AL,Randolph County,35121,0.223,0.235
AL,Russell County,34310,0.213,0.229
AL,Russell County,35762,0.213,0.22
AL,Shelby County,67244,0.123,0.149
AL,Shelby County,68718,0.123,0.143
AL,St. Clair County,50989,0.193,0.2
AL,St. Clair County,52437,0.193,0.197
AL,Sumter County,24059,0.277,0.222
AL,Sumter County,24504,0.277,0.217
AL,Talladega County,34785,0.299,0.201
AL,Talladega County,38505,0.299,0.19
AL,Tallapoosa County,36463,0.265,0.198
AL,Tallapoosa County,37747,0.265,0.204
AL,Tuscaloosa County,41495,0.176,0.183
AL,Tuscaloosa County,45959,0.176,0.191
AL,Walker County,36600,0.35,0.211
AL,Walker County,37193,0.35,0.202
AL,Washington County,39173,0.211,0.226
AL,Washington County,41115,0.211,0.223
AL,Wilcox County,22126,0.305,0.28
AL,Wilcox County,23184,0.305,0.234
AL,Winston County,32663,0.211,0.227
AL,Winston County,33578,0.211,0.224
AR,Arkansas County,37907,0.287,0.25
AR,Arkansas County,38497,0.287,0.246
AR,Ashley County,39276,0.252,0.249
AR,Ashley County,36479,0.252,0.239
AR,Baxter County,35315,0.175,0.25
AR,Baxter County,36082,0.175,0.249
AR,Benton County,52717,0.125,0.245
AR,Benton County,56518,0.125,0.245
AR,Boone County,35848,0.168,0.252
AR,Boone County,38410,0.168,0.245
AR,Bradley County,31940,0.186,0.329
AR,Bradley County,31733,0.186,0.303
AR,Calhoun County,36216,0.217,0.256
AR,Calhoun County,37497,0.217,0.244
AR,Carroll County,34096,0.178,0.328
AR,Carroll County,34109,0.178,0.334
AR,Chicot County,26911,0.249,0.283
AR,Chicot County,28006,0.249,0.281
AR,Clark County,34482,0.219,0.265
AR,Clark County,36517,0.219,0.232
AR,Clay County,32642,0.284,0.273
AR,Clay County,33488,0.284,0.257
AR,Cleburne County,41337,0.241,0.269
AR,Cleburne County,41612,0.241,0.254
AR,Cleveland County,41338,0.215,0.24
AR,Cleveland County,42414,0.215,0.237
AR,Columbia County,35024,0.24,0.236
AR,Columbia County,36927,0.24,0.241
AR,Conway County,35832,0.227,0.246
AR,Conway County,38145,0.227,0.238
AR,Craighead County,42437,0.176,0.251
AR,Craighead County,41608,0.176,0.254
AR,Crawford County,39367,0.2,0.266
AR,Crawford County,39384,0.2,0.275
AR,Crittenden County,36588,0.208,0.249
AR,Crittenden County,37726,0.208,0.237
AR,Cross County,35839,0.21,0.266
AR,Cross County,35438,0.21,0.242
AR,Dallas County,30984,0.233,0.259
AR,Dallas County,32591,0.233,0.248
AR,Desha County,30298,0.209,0.267
AR,Desha County,30241,0.209,0.259
AR,Drew County,33682,0.193,0.253
AR,Drew County,35249,0.193,0.247
AR,Faulkner County,49843,0.173,0.217
AR,Faulkner County,49936,0.173,0.21
AR,Franklin County,39763,0.257,0.254
AR,Franklin County,38874,0.257,0.256
AR,Fulton County,31988,0.235,0.283
AR,Fulton County,33439,0.235,0.273
AR,Garland County,39617,0.187,0.289
AR,Garland County,39057,0.187,0.267
AR,Grant County,47421,0.242,0.211
AR,Grant County,47089,0.242,0.21
AR,Greene County,38771,0.143,0.239
AR,Greene County,40840,0.143,0.235
AR,Hempstead County,32292,0.3,0.307
AR,Hempstead County,33715,0.3,0.303
AR,Hot Spring County,41754,0.28,0.247
AR,Hot Spring County,39927,0.28,0.223
AR,Howard County,33049,0.189,0.317
AR,Howard County,32740,0.189,0.305
AR,Independence County,37818,0.219,0.265
AR,Independence County,37761,0.219,0.265
AR,Izard County,29663,0.285,0.275
AR,Izard County,33308,0.285,0.287
AR,Jackson County,30604,0.292,0.265
AR,Jackson County,32923,0.292,0.254
AR,Jefferson County,36346,0.177,0.22
AR,Jefferson County,36169,0.177,0.213
