State,County,Median household income
AK,Aleutians West Census Area,69192
AK,Aleutians West Census Area,74088
AK,Anchorage Borough,71094
AK,Anchorage Borough,76362
AK,Bethel Census Area,41722
AK,Bethel Census Area,42876
AK,Dillingham Census Area,47498
AK,Dillingham Census Area,47930
AK,Fairbanks North Star Borough,63979
AK,Fairbanks North Star Borough,67204
AK,Haines Borough,49890
AK,Haines Borough,55295
AK,Juneau Borough,76967
AK,Juneau Borough,83642
AK,Kenai Peninsula Borough,60431
AK,Kenai Peninsula Borough,61629
AK,Ketchikan Gateway Borough,61296
AK,Ketchikan Gateway Borough,62619
AK,Kodiak Island Borough,61498
AK,Kodiak Island Borough,64782
AK,Lake and Peninsula Borough,44657
AK,Lake and Peninsula Borough,43936
AK,Matanuska-Susitna Borough,68109
AK,Matanuska-Susitna Borough,72371
AK,Nome Census Area,47022
AK,Nome Census Area,46471
AK,North Slope Borough,69138
AK,North Slope Borough,74174
AK,Northwest Arctic Borough,52945
AK,Northwest Arctic Borough,54600
AK,Prince of Wales-Outer Ketchikan Census Area,44721
AK,Prince of Wales-Outer Ketchikan Census Area,48175
AK,Sitka Borough,61771
AK,Sitka Borough,66038
AK,Skagway-Hoonah-Angoon Census Area,48137
AK,Skagway-Hoonah-Angoon Census Area,49138
AK,Southeast Fairbanks Census Area,56456
AK,Southeast Fairbanks Census Area,54922
AK,Valdez-Cordova Census Area,65098
AK,Valdez-Cordova Census Area,63541
AK,Wade Hampton Census Area,32860
AK,Wade Hampton Census Area,31274
AK,Wrangell-Petersburg Census Area,53745
AK,Wrangell-Petersburg Census Area,54624
AK,Yukon-Koyukuk Census Area,33998
AK,Yukon-Koyukuk Census Area,35114
AL,Autauga County,51441
AL,Autauga County,51868
AL,Baldwin County,48867
AL,Baldwin County,47539
AL,Barbour County,30287
AL,Barbour County,30981
AL,Bibb County,37392
AL,Bibb County,39781
AL,Blount County,44225
AL,Blount County,44392
AL,Bullock County,25854
AL,Bullock County,25937
AL,Butler County,30605
AL,Butler County,31041
AL,Calhoun County,39212
AL,Calhoun County,37898
AL,Chambers County,32320
AL,Chambers County,33883
AL,Cherokee County,37868
AL,Cherokee County,37478
AL,Chilton County,39621
AL,Chilton County,41348
AL,Choctaw County,33390
AL,Choctaw County,33581
AL,Clarke County,34606
AL,Clarke County,34593
AL,Clay County,34579
AL,Clay County,33344
AL,Cleburne County,38235
AL,Cleburne County,40407
AL,Coffee County,45631
AL,Coffee County,44666
AL,Colbert County,39771
AL,Colbert County,40032
AL,Conecuh County,27110
AL,Conecuh County,27196
AL,Coosa County,32960
AL,Coosa County,35175
AL,Covington County,34017
AL,Covington County,35187
AL,Crenshaw County,33648
AL,Crenshaw County,34105
AL,Cullman County,37938
AL,Cullman County,40142
AL,Dale County,40125
AL,Dale County,41805
AL,Dallas County,27400
AL,Dallas County,27524
AL,DeKalb County,37644
AL,DeKalb County,36713
AL,Elmore County,52324
AL,Elmore County,51650
AL,Escambia County,33588
AL,Escambia County,33455
AL,Etowah County,35737
AL,Etowah County,38587
AL,Fayette County,35720
AL,Fayette County,35661
AL,Franklin County,33173
AL,Franklin County,33332
AL,Geneva County,33347
AL,Geneva County,35378
AL,Greene County,24592
AL,Greene County,25864
AL,Hale County,31025
AL,Hale County,33597
AL,Henry County,37108
AL,Henry County,41590
AL,Houston County,40609
AL,Houston County,39636
AL,Jackson County,39618
AL,Jackson County,37204
AL,Jefferson County,43967
AL,Jefferson County,45024
AL,Lamar County,33940
AL,Lamar County,36475
AL,Lauderdale County,41536
AL,Lauderdale County,43586
AL,Lawrence County,38524
AL,Lawrence County,40713
AL,Lee County,43182
AL,Lee County,44647
AL,Limestone County,49616
AL,Limestone County,50148
AL,Lowndes County,28544
AL,Lowndes County,29734
AL,Macon County,27709
AL,Macon County,29228
AL,Madison County,57072
AL,Madison County,58258
AL,Marengo County,31888
AL,Marengo County,33749
AL,Marion County,32237
AL,Marion County,34162
AL,Marshall County,36960
AL,Marshall County,38399
AL,Mobile County,39546
AL,Mobile County,42278
AL,Monroe County,36221
AL,Monroe County,32696
AL,Montgomery County,41430
AL,Montgomery County,44013
AL,Morgan County,44766
AL,Morgan County,44079
AL,Perry County,25215
AL,Perry County,25461
AL,Pickens County,31433
AL,Pickens County,32314
AL,Pike County,32411
AL,Pike County,35944
AL,Randolph County,35024
AL,Randolph County,35121
AL,Russell County,34310
AL,Russell County,35762
AL,Shelby County,67244
AL,Shelby County,68718
AL,St. Clair County,50989
AL,St. Clair County,52437
AL,Sumter County,24059
AL,Sumter County,24504
AL,Talladega County,34785
