State,County,Poor or fair health
AK,Aleutians West Census Area,0.122
AK,Aleutians West Census Area,0.122
AK,Anchorage Borough,0.125
AK,Anchorage Borough,0.125
AK,Bethel Census Area,0.211
AK,Bethel Census Area,0.211
AK,Dillingham Census Area,0.121
AK,Dillingham Census Area,0.121
AK,Fairbanks North Star Borough,0.11
AK,Fairbanks North Star Borough,0.11
AK,Haines Borough,0.118
AK,Haines Borough,0.118
AK,Juneau Borough,0.115
AK,Juneau Borough,0.115
AK,Kenai Peninsula Borough,0.137
AK,Kenai Peninsula Borough,0.137
AK,Ketchikan Gateway Borough,0.144
AK,Ketchikan Gateway Borough,0.144
AK,Kodiak Island Borough,0.132
AK,Kodiak Island Borough,0.132
AK,Lake and Peninsula Borough,
AK,Lake and Peninsula Borough,
AK,Matanuska-Susitna Borough,0.133
AK,Matanuska-Susitna Borough,0.133
AK,Nome Census Area,0.164
AK,Nome Census Area,0.164
AK,North Slope Borough,0.2
AK,North Slope Borough,0.2
AK,Northwest Arctic Borough,0.188
AK,Northwest Arctic Borough,0.188
AK,Prince of Wales-Outer Ketchikan Census Area,0.207
AK,Prince of Wales-Outer Ketchikan Census Area,0.207
AK,Sitka Borough,0.11
AK,Sitka Borough,0.11
AK,Skagway-Hoonah-Angoon Census Area,0.1
AK,Skagway-Hoonah-Angoon Census Area,0.1
AK,Southeast Fairbanks Census Area,0.154
AK,Southeast Fairbanks Census Area,0.154
AK,Valdez-Cordova Census Area,0.172
AK,Valdez-Cordova Census Area,0.172
AK,Wade Hampton Census Area,0.25
AK,Wade Hampton Census Area,0.25
AK,Wrangell-Petersburg Census Area,0.132
AK,Wrangell-Petersburg Census Area,0.132
AK,Yukon-Koyukuk Census Area,0.194
AK,Yukon-Koyukuk Census Area,0.194
AL,Autauga County,0.228
AL,Autauga County,0.228
AL,Baldwin County,0.127
AL,Baldwin County,0.127
AL,Barbour County,0.234
AL,Barbour County,0.234
AL,Bibb County,0.179
AL,Bibb County,0.179
AL,Blount County,0.242
AL,Blount County,0.242
AL,Bullock County,0.23
AL,Bullock County,0.23
AL,Butler County,0.199
AL,Butler County,0.199
AL,Calhoun County,0.227
AL,Calhoun County,0.227
AL,Chambers County,0.385
AL,Chambers County,0.385
AL,Cherokee County,0.242
AL,Cherokee County,0.242
AL,Chilton County,0.205
AL,Chilton County,0.205
AL,Choctaw County,0.316
AL,Choctaw County,0.316
AL,Clarke County,0.218
AL,Clarke County,0.218
AL,Clay County,0.286
AL,Clay County,0.286
