State,County,Uninsured adults
AK,Aleutians West Census Area,0.374
AK,Aleutians West Census Area,0.314
AK,Anchorage Borough,0.218
AK,Anchorage Borough,0.227
AK,Bethel Census Area,0.394
AK,Bethel Census Area,0.389
AK,Dillingham Census Area,0.384
AK,Dillingham Census Area,0.367
AK,Fairbanks North Star Borough,0.251
AK,Fairbanks North Star Borough,0.247
AK,Haines Borough,0.317
AK,Haines Borough,0.346
AK,Juneau Borough,0.236
AK,Juneau Borough,0.216
AK,Kenai Peninsula Borough,0.268
AK,Kenai Peninsula Borough,0.278
AK,Ketchikan Gateway Borough,0.304
AK,Ketchikan Gateway Borough,0.284
AK,Kodiak Island Borough,0.349
AK,Kodiak Island Borough,0.32
AK,Lake and Peninsula Borough,0.434
AK,Lake and Peninsula Borough,0.406
AK,Matanuska-Susitna Borough,0.266
AK,Matanuska-Susitna Borough,0.254
AK,Nome Census Area,0.373
AK,Nome Census Area,0.366
AK,North Slope Borough,0.28
AK,North Slope Borough,0.295
AK,Northwest Arctic Borough,0.384
AK,Northwest Arctic Borough,0.394
AK,Prince of Wales-Outer Ketchikan Census Area,0.379
AK,Prince of Wales-Outer Ketchikan Census Area,0.363
AK,Sitka Borough,0.293
AK,Sitka Borough,0.292
AK,Skagway-Hoonah-Angoon Census Area,0.334
AK,Skagway-Hoonah-Angoon Census Area,0.343
AK,Southeast Fairbanks Census Area,0.323
AK,Southeast Fairbanks Census Area,0.345
AK,Valdez-Cordova Census Area,0.281
AK,Valdez-Cordova Census Area,0.283
AK,Wade Hampton Census Area,0.441
AK,Wade Hampton Census Area,0.433
AK,Wrangell-Petersburg Census Area,0.29
AK,Wrangell-Petersburg Census Area,0.285
AK,Yukon-Koyukuk Census Area,0.45
AK,Yukon-Koyukuk Census Area,0.448
AL,Autauga County,0.18
AL,Autauga County,0.169
AL,Baldwin County,0.209
AL,Baldwin County,0.199
AL,Barbour County,0.242
AL,Barbour County,0.228
AL,Bibb County,0.2
AL,Bibb County,0.193
AL,Blount County,0.227
AL,Blount County,0.233
AL,Bullock County,0.208
AL,Bullock County,0.232
AL,Butler County,0.21
AL,Butler County,0.216
AL,Calhoun County,0.213
AL,Calhoun County,0.197
AL,Chambers County,0.228
AL,Chambers County,0.205
AL,Cherokee County,0.214
AL,Cherokee County,0.209
AL,Chilton County,0.254
AL,Chilton County,0.245
AL,Choctaw County,0.219
AL,Choctaw County,0.204
AL,Clarke County,0.236
AL,Clarke County,0.221
AL,Clay County,0.238
AL,Clay County,0.238
AL,Cleburne County,0.211
AL,Cleburne County,0.204
AL,Coffee County,0.219
AL,Coffee County,0.205
AL,Colbert County,0.188
AL,Colbert County,0.181
AL,Conecuh County,0.24
AL,Conecuh County,0.233
AL,Coosa County,0.195
AL,Coosa County,0.202
AL,Covington County,0.225
AL,Covington County,0.223
AL,Crenshaw County,0.236
AL,Crenshaw County,0.21
AL,Cullman County,0.225
AL,Cullman County,0.23
AL,Dale County,0.199
AL,Dale County,0.192
AL,Dallas County,0.21
AL,Dallas County,0.194
AL,DeKalb County,0.29
AL,DeKalb County,0.282
AL,Elmore County,0.176
AL,Elmore County,0.168
AL,Escambia County,0.249
AL,Escambia County,0.256
AL,Etowah County,0.215
AL,Etowah County,0.214
AL,Fayette County,0.2
AL,Fayette County,0.197
AL,Franklin County,0.268
AL,Franklin County,0.26
AL,Geneva County,0.231
AL,Geneva County,0.243
AL,Greene County,0.225
AL,Greene County,0.206
AL,Hale County,0.245
AL,Hale County,0.209
AL,Henry County,0.218
AL,Henry County,0.212
AL,Houston County,0.208
AL,Houston County,0.215
AL,Jackson County,0.231
AL,Jackson County,0.218
AL,Jefferson County,0.189
AL,Jefferson County,0.186
AL,Lamar County,0.209
AL,Lamar County,0.213
AL,Lauderdale County,0.19
AL,Lauderdale County,0.207
AL,Lawrence County,0.219
AL,Lawrence County,0.231
AL,Lee County,0.207
AL,Lee County,0.191
AL,Limestone County,0.206
AL,Limestone County,0.207
AL,Lowndes County,0.222
AL,Lowndes County,0.2
AL,Macon County,0.195
AL,Macon County,0.191
AL,Madison County,0.189
AL,Madison County,0.174
AL,Marengo County,0.224
AL,Marengo County,0.196
AL,Marion County,0.219
AL,Marion County,0.202
AL,Marshall County,0.274
AL,Marshall County,0.242
AL,Mobile County,0.239
AL,Mobile County,0.23
AL,Monroe County,0.236
AL,Monroe County,0.215
AL,Montgomery County,0.213
AL,Montgomery County,0.2
AL,Morgan County,0.231
AL,Morgan County,0.218
AL,Perry County,0.25
AL,Perry County,0.215
AL,Pickens County,0.22
AL,Pickens County,0.209
AL,Pike County,0.25
AL,Pike County,0.225
AL,Randolph County,0.24
AL,Randolph County,0.235
AL,Russell County,0.229
AL,Russell County,0.22
AL,Shelby County,0.149
AL,Shelby County,0.143
AL,St. Clair County,0.2
AL,St. Clair County,0.197
AL,Sumter County,0.222
AL,Sumter County,0.217
AL,Talladega County,0.201
AL,Talladega County,0.19
AL,Tallapoosa County,0.198
AL,Tallapoosa County,0.204
AL,Tuscaloosa County,0.183
AL,Tuscaloosa County,0.191
AL,Walker County,0.211
AL,Walker County,0.202
AL,Washington County,0.226
AL,Washington County,0.223
AL,Wilcox County,0.28
AL,Wilcox County,0.234
AL,Winston County,0.227
AL,Winston County,0.224
AR,Arkansas County,0.25
AR,Arkansas County,0.246
AR,Ashley County,0.249
AR,Ashley County,0.239
AR,Baxter County,0.25
AR,Baxter County,0.249
AR,Benton County,0.245
AR,Benton County,0.245
AR,Boone County,0.252
AR,Boone County,0.245
AR,Bradley County,0.329
AR,Bradley County,0.303
AR,Calhoun County,0.256
AR,Calhoun County,0.244
AR,Carroll County,0.328
AR,Carroll County,0.334
AR,Chicot County,0.283
AR,Chicot County,0.281
AR,Clark County,0.265
AR,Clark County,0.232
AR,Clay County,0.273
AR,Clay County,0.257
AR,Cleburne County,0.269
AR,Cleburne County,0.254
AR,Cleveland County,0.24
AR,Cleveland County,0.237
AR,Columbia County,0.236
AR,Columbia County,0.241
AR,Conway County,0.246
AR,Conway County,0.238
AR,Craighead County,0.251
AR,Craighead County,0.254
AR,Crawford County,0.266
AR,Crawford County,0.275
AR,Crittenden County,0.249
AR,Crittenden County,0.237
AR,Cross County,0.266
AR,Cross County,0.242
AR,Dallas County,0.259
AR,Dallas County,0.248
AR,Desha County,0.267
AR,Desha County,0.259
AR,Drew County,0.253
AR,Drew County,0.247
AR,Faulkner County,0.217
AR,Faulkner County,0.21
AR,Franklin County,0.254
AR,Franklin County,0.256
AR,Fulton County,0.283
AR,Fulton County,0.273
AR,Garland County,0.289
AR,Garland County,0.267
AR,Grant County,0.211
AR,Grant County,0.21
AR,Greene County,0.239
